model,accuracy,precision,recall,f1,roc_auc,train_time_sec
Gradient Boosting,0.8690654672663668,0.7888446215139442,0.4864864864864865,0.601823708206687,0.880987209406281,1.115
ANN (Keras),0.7941029485257372,0.49596122778675283,0.7542997542997543,0.5984405458089669,0.8698636471534841,
Random Forest,0.8705647176411794,0.7983870967741935,0.4864864864864865,0.6045801526717557,0.8681318766011363,2.89
XGBoost,0.8525737131434283,0.6830065359477124,0.5135135135135135,0.5862552594670407,0.8437475915518576,0.349
SVM (RBF kernel),0.8585707146426786,0.7844036697247706,0.4201474201474201,0.5472,0.8412551367381982,7.163
K-Nearest Neighbors,0.841079460269865,0.7633136094674556,0.31695331695331697,0.4479166666666667,0.8156600766387466,0.013
Logistic Regression,0.8105947026486756,0.6076923076923076,0.1941031941031941,0.2942271880819367,0.7885035714395815,0.01
Naive Bayes,0.8185907046476761,0.5887096774193549,0.35872235872235875,0.44580152671755724,0.7875417335894124,0.006
Decision Tree,0.7906046976511744,0.4863636363636364,0.5257985257985258,0.5053128689492326,0.6920084222468162,0.041
